Data ID No,Chemical Name,Chemical Class,Carbon Number,CAS,SMILES,DT50,logDT50,logfoc,StudyT,Dispersant,logTdose,logDose,chain:alkaneBranch_isopropyl_C3,chain:alkaneBranch_t-butyl_C4,chain:alkaneBranch_neopentyl_C5,chain:alkaneBranch_isohexyl_pentyl_3-methyl,chain:alkaneBranch_isooctyl_heptyl_3-methyl,chain:alkaneBranch_isononyl_heptyl_2_5-methyl,chain:alkaneCyclic_pentyl_C5,chain:alkaneCyclic_hexyl_C6,chain:alkaneLinear_ethyl_C2_(connect_noZ_CN=4),chain:alkaneLinear_propyl_C3,chain:alkaneLinear_butyl_C4,chain:alkaneLinear_hexyl_C6,chain:alkaneLinear_octyl_C8,chain:alkaneLinear_decyl_C10,chain:alkaneLinear_dodedyl_C12,chain:alkaneLinear_tetradecyl_C14,chain:alkaneLinear_hexadecyl_C16,chain:alkaneLinear_stearyl_C18,chain:alkeneCyclic_diene_cyclohexene,chain:alkeneCyclic_diene_cyclopentadiene,chain:alkeneCyclic_ethene_C_(connect_noZ),chain:aromaticAlkane_Ar-C_meta,chain:aromaticAlkane_Ar-C_ortho,chain:aromaticAlkane_Ph-C1_acyclic_connect_H_gt_1,chain:aromaticAlkane_Ph-C1_acyclic_connect_noDblBd,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-1_4-C1_acyclic,chain:aromaticAlkane_Ph-C2,chain:aromaticAlkane_Ph-C1_cyclic,chain:aromaticAlkene_Ph-C2_cyclic,ring:aromatic_benzene,ring:aromatic_biphenyl,ring:aromatic_phenyl,ring:fused_[6_6]_naphthalene,ring:fused_[6_6]_tetralin,ring:fused_PAH_acenaphthylene,ring:fused_PAH_anthracene,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_fluorene,ring:fused_PAH_phenanthrene,ring:fused_PAH_pyrene,ring:hetero_[5]_O_furan,ring:hetero_[5]_O_oxolane,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_Z_1-Z,ring:hetero_[5_6]_O_benzofuran,ring:hetero_[5_6]_Z_generic,ring:hetero_[6_5_6]_O_benzofuran_dibenzo,Inoculum description,Inoculum assignment,Compartment assignment,Matrix location,Approximate location coordinates,Matrix collection Temperature (oC),Matrix storage,Study system,Study matrix volume (L),Matrix Organic Carbon Content (%),pH,Study moisture content (%),Study Sediment:Water ratio,Study Agitation,Study Agitation description,Study Aeration,Study Aeration description,Study duration (d),Study controls,Abiotic control type,Test substance type,Test substance description,Test substance physical form,Test substance dosing stratgy,Total hydrocarbon dose (ppm),Initial test substance concentration (ppm),Final test substance concentration (ppm),Kinetics used,R2 (if applicable),Lag (d),Rate (d-1),Halflife (d),Study reference,Study comments,Other comments,Soil classification,Non standard inoculum,pH,Organic carbon,Sampling and storage,"Nutrient supplemenation (N,P)",Non-routine experimental setup,Soil moisture,Soil aeration,Water:Sediment ratio,Sediment agitation and aeration,Light regime,Test substance concentration,"Mixtures, crudes or petroleum products",Temperature,Inoculum,Test system,Flags,Total relevance (Inoculum + Test system ave),HL_bhcw,logHL_biohcw,SMILES2
120,Benzene,MAr,6,71-43-2,c1ccccc1,0.438425926,-0.358103772,-2.698970004,23,No,-0.099632871,-1.798602876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial sand from lakeGeneva,Lake soil,Soil,"Lake Geneva, Switzerland","46°13'23.5""N 6°09'12.7""E",,,Closed microcosm in 63mL serum bottles and sealed ith mininert valves,0.063,0.002,,10% WHC,,No,,No,Likely adequate oxygen in soi pore spaces for biodegradation,1,Vessels completely sealed and samples taken from gas phase resulting no losses through volatilisation,,Synthetic mixture,,Gas,Gaseous form injected into microcosm,0.795,0.0159,0.003816,Lag + First order rate constant,0.949,0.349305556,7.776,0.08912037,Bouhard 2008,Sand packed tightly into glass vessel,Nutrients added,L,Y,L,H,H,M,N ,M,H,N/A,N/A,L,H,M,H,2.0,2.3,1,2.2,4.546,0.6577,c1ccccc1
121,Benzene,MAr,6,71-43-2,c1ccccc1,8.650165017,0.937024392,0.531478917,28,No,0.414973348,-0.187086643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nixon sand loam,Garden soil,Soil,"New Brunswick, NJ, USA","40°28'50.4""N 74°26'20.5""W",,"The soil was sieved through a mesh with 2-mm-diameter holes, and its natural pH of 5.5 to 6.0 was raised to 7.0 by adding CaCO3 ",Closed microcosm in 1L glass shake flask and with various sample ports. Sealed with teflon lined caps,0.04,3.4,,60% WHC,,No,,Yes,Large headspace and further oxygen reservior available,25,Abiotic control,Autoclave + 0.5% HgCl2,Synthetic mixture,BTEX,Liquid,Injected into semi dry soil and then water added,2.6,0.65,0,Lag + First order rate constant,1,7,30.3,1.650165017,Tsao 1998,,,H,N ,H,H,H,H,N ,H,H,N/A,N/A,H,M,M,H,3.0,2.7,0,2.8,4.546,0.6577,c1ccccc1
122,Benzene,MAr,6,71-43-2,c1ccccc1,7.507192858,0.875477573,0.531478917,28,No,0.414973348,0.414973348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nixon sand loam,Garden soil,Soil,"New Brunswick, NJ, USA","40°28'50.4""N 74°26'20.5""W",,"The soil was sieved through a mesh with 2-mm-diameter holes, and its natural pH of 5.5 to 6.0 was raised to 7.0 by adding CaCO3 ",Closed microcosm in 1L glass shake flask and with various sample ports. Sealed with teflon lined caps,0.04,3.4,,60% WHC,,No,,Yes,Large headspace and further oxygen reservior available,25,Abiotic control,Autoclave + 0.5% HgCl2,Single constituent,,Liquid,Injected into semi dry soil and then water added,2.6,2.6,0,Lag + First order rate constant,0.9355,3,9.462,4.507192858,Tsao 1998,,,H,N ,H,H,H,H,N ,H,H,N/A,N/A,H,M,H,H,3.0,2.8,0,2.9,4.546,0.6577,c1ccccc1
123,Benzo(a)anthracene,PAH,18,56-55-3,c1ccc2cc3c(ccc4ccccc34)cc2c1,58.78,1.769229582,1.041392685,20,No,3.80009818,1.831869774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Greenfield site soil,Parkland soil,Soil,"Newcastle upon Tyne, UK","54°59'09.0""N 1°35'02.1""W",,,Open microcosm in 0.64L PVC water piping (20 cm long and 3.2 cmdiameter). Incubated with diurnal light cycle.,0.2,11,,31.7 (75% WHC),,No,,Yes,Open microcosm,280,Abiotic control,0.5% HgCl2,Coal tar pitch,,Soild,"Solvent dissolved (acetone) added to quarter of test soil, mixed in cement mixer and air dried. This soil added to remaining test soil",6311,67.9,14.72969955,Multiphasic kinetic model,0.783067753,,,,Deary 2016,Cd low 100mg/kg,Kinerics include sorption to soil,L,N ,H,L,H,H,N ,M,H,N/A,N/A,L,L,M,H,2.2,2.0,0,2.1,343.8,2.5363,c1ccc2cc3c(ccc4ccccc34)cc2c1
124,Benzo(a)anthracene,PAH,18,56-55-3,c1ccc2cc3c(ccc4ccccc34)cc2c1,155.37,2.191367166,1.041392685,20,No,3.80009818,1.831869774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Greenfield site soil,Parkland soil,Soil,"Newcastle upon Tyne, UK","54°59'09.0""N 1°35'02.1""W",,,Open microcosm in 0.64L PVC water piping (20 cm long and 3.2 cmdiameter). Incubated with diurnal light cycle.,0.2,11,,31.7 (75% WHC),,No,,Yes,Open microcosm,280,Abiotic control,0.5% HgCl2,Coal tar pitch,,Soild,"Solvent dissolved (acetone) added to quarter of test soil, mixed in cement mixer and air dried. This soil added to remaining test soil",6311,67.9,22.52710889,Multiphasic kinetic model,0.668231091,,,,Deary 2016,Cd med 250mg/kg,Kinerics include sorption to soil,L,N ,H,L,H,H,N ,M,H,N/A,N/A,L,L,M,H,2.2,2.0,0,2.1,343.8,2.5363,c1ccc2cc3c(ccc4ccccc34)cc2c1
125,Benzo(a)anthracene,PAH,18,56-55-3,c1ccc2cc3c(ccc4ccccc34)cc2c1,129.42,2.112001395,1.041392685,20,No,3.80009818,1.831869774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Greenfield site soil,Parkland soil,Soil,"Newcastle upon Tyne, UK","54°59'09.0""N 1°35'02.1""W",,,Open microcosm in 0.64L PVC water piping (20 cm long and 3.2 cmdiameter). Incubated with diurnal light cycle.,0.2,11,,31.7 (75% WHC),,No,,Yes,Open microcosm,280,Abiotic control,0.5% HgCl2,Coal tar pitch,,Soild,"Solvent dissolved (acetone) added to quarter of test soil, mixed in cement mixer and air dried. This soil added to remaining test soil",6311,67.9,20.56646134,Multiphasic kinetic model,0.697106608,,,,Deary 2016,Cd high 500mg/kg,Kinerics include sorption to soil,L,N ,H,L,H,H,N ,M,H,N/A,N/A,L,L,M,H,2.2,2.0,0,2.1,343.8,2.5363,c1ccc2cc3c(ccc4ccccc34)cc2c1
126,Benzo(a)anthracene,PAH,18,56-55-3,c1ccc2cc3c(ccc4ccccc34)cc2c1,90.39,1.956120386,1.041392685,20,No,3.80009818,1.831869774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Greenfield site soil,Parkland soil,Soil,"Newcastle upon Tyne, UK","54°59'09.0""N 1°35'02.1""W",,,Open microcosm in 0.64L PVC water piping (20 cm long and 3.2 cmdiameter). Incubated with diurnal light cycle.,0.2,11,,31.7 (75% WHC),,No,,Yes,Open microcosm,280,Abiotic control,0.5% HgCl2,Coal tar pitch,,Soild,"Solvent dissolved (acetone) added to quarter of test soil, mixed in cement mixer and air dried. This soil added to remaining test soil",6311,67.9,17.58048176,Multiphasic kinetic model,0.741082743,,,,Deary 2016,Pb low 100mg/kg,Kinerics include sorption to soil,L,N ,H,L,H,H,N ,M,H,N/A,N/A,L,L,M,H,2.2,2.0,0,2.1,343.8,2.5363,c1ccc2cc3c(ccc4ccccc34)cc2c1
127,Benzo(a)anthracene,PAH,18,56-55-3,c1ccc2cc3c(ccc4ccccc34)cc2c1,97.21,1.987710943,1.041392685,20,No,3.80009818,1.831869774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Greenfield site soil,Parkland soil,Soil,"Newcastle upon Tyne, UK","54°59'09.0""N 1°35'02.1""W",,,Open microcosm in 0.64L PVC water piping (20 cm long and 3.2 cmdiameter). Incubated with diurnal light cycle.,0.2,11,,31.7 (75% WHC),,No,,Yes,Open microcosm,280,Abiotic control,0.5% HgCl2,Coal tar pitch,,Soild,"Solvent dissolved (acetone) added to quarter of test soil, mixed in cement mixer and air dried. This soil added to remaining test soil",6311,67.9,18.12016203,Multiphasic kinetic model,0.73313458,,,,Deary 2016,Pb Med 250mg/kg,Kinerics include sorption to soil,L,N ,H,L,H,H,N ,M,H,N/A,N/A,L,L,M,H,2.2,2.0,0,2.1,343.8,2.5363,c1ccc2cc3c(ccc4ccccc34)cc2c1
128,Benzo(a)anthracene,PAH,18,56-55-3,c1ccc2cc3c(ccc4ccccc34)cc2c1,121.33,2.083968198,1.041392685,20,No,3.80009818,1.831869774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Greenfield site soil,Parkland soil,Soil,"Newcastle upon Tyne, UK","54°59'09.0""N 1°35'02.1""W",,,Open microcosm in 0.64L PVC water piping (20 cm long and 3.2 cmdiameter). Incubated with diurnal light cycle.,0.2,11,,31.7 (75% WHC),,No,,Yes,Open microcosm,280,Abiotic control,0.5% HgCl2,Coal tar pitch,,Soild,"Solvent dissolved (acetone) added to quarter of test soil, mixed in cement mixer and air dried. This soil added to remaining test soil",6311,67.9,19.95813935,Multiphasic kinetic model,0.706065694,,,,Deary 2016,Pb high500mg/kg,Kinerics include sorption to soil,L,N ,H,L,H,H,N ,M,H,N/A,N/A,L,L,M,H,2.2,2.0,0,2.1,343.8,2.5363,c1ccc2cc3c(ccc4ccccc34)cc2c1
129,Benzo(a)anthracene,PAH,18,56-55-3,c1ccc2cc3c(ccc4ccccc34)cc2c1,31.24,1.494711025,1.041392685,20,No,3.80009818,1.831869774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Greenfield site soil,Parkland soil,Soil,"Newcastle upon Tyne, UK","54°59'09.0""N 1°35'02.1""W",,,Open microcosm in 0.64L PVC water piping (20 cm long and 3.2 cmdiameter). Incubated with diurnal light cycle.,0.2,11,,31.7 (75% WHC),,No,,Yes,Open microcosm,280,Abiotic control,0.5% HgCl2,Coal tar pitch,,Soild,"Solvent dissolved (acetone) added to quarter of test soil, mixed in cement mixer and air dried. This soil added to remaining test soil",6311,67.9,10.9439059,Multiphasic kinetic model,0.838823183,,,,Deary 2016,,Kinerics include sorption to soil,L,N ,H,L,H,H,N ,M,H,N/A,N/A,L,M,M,H,2.2,2.2,0,2.2,343.8,2.5363,c1ccc2cc3c(ccc4ccccc34)cc2c1
130,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,530,2.72427587,-0.301029996,10,No,3.602059991,1.031812271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Sandy loam soil,Agricultural soil,Soil,"Kaysville, Utah, USA","41°06'40.5""N 111°54'09.0""W",,Air dried and screened with 2mm sieve. Acclimated at study temperature for 10 days prior to experiment,Closed microcosm in 250mL beaker covered with polyethylene film (high oxygen permeability),0.015,0.5,,16 (80% WHC),,No,,Yes,Oxygen permeable lid,240,No abiotic control but vessels sealed,,Synthetic mixture,,Solid,"Solvent dissolved, added to soil and evaporated ",4000,10.76,7.8548,Zero or first order constant,,,0.001307547,530,Coover 1987,,,H,N ,H,H,L,H,N ,M,H,N/A,N/A,L,M,M,H,2.6,2.2,0,2.4,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
131,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,290,2.462397998,-0.301029996,20,No,3.602059991,1.031812271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Sandy loam soil,Agricultural soil,Soil,"Kaysville, Utah, USA","41°06'40.5""N 111°54'09.0""W",,Air dried and screened with 2mm sieve. Acclimated at study temperature for 10 days prior to experiment,Closed microcosm in 250mL beaker covered with polyethylene film (high oxygen permeability),0.015,0.5,,16 (80% WHC),,No,,Yes,Oxygen permeable lid,240,No abiotic control but vessels sealed,,Synthetic mixture,,Solid,"Solvent dissolved, added to soil and evaporated ",4000,10.76,5.8104,Zero or first order constant,,,0.002389655,290,Coover 1987,,,H,N ,H,H,L,H,N ,M,H,N/A,N/A,L,M,M,H,2.6,2.2,0,2.4,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
132,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,220,2.342422681,-0.301029996,30,No,3.602059991,1.031812271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Sandy loam soil,Agricultural soil,Soil,"Kaysville, Utah, USA","41°06'40.5""N 111°54'09.0""W",,Air dried and screened with 2mm sieve. Acclimated at study temperature for 10 days prior to experiment,Closed microcosm in 250mL beaker covered with polyethylene film (high oxygen permeability),0.015,0.5,,16 (80% WHC),,No,,Yes,Oxygen permeable lid,240,No abiotic control but vessels sealed,,Synthetic mixture,,Solid,"Solvent dissolved, added to soil and evaporated ",4000,10.76,5.7028,Zero or first order constant,,,0.00315,220,Coover 1987,,,H,N ,H,H,L,H,N ,M,H,N/A,N/A,L,M,M,H,2.6,2.2,0,2.4,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
133,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,126,2.100370545,-0.346787486,20,No,3,2.301029996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Scrubland soil near industrial area,Urban soil,Soil,"Sabadell, Spain","41.5463° N, 2.1086° E",,Passed through a 2 mm stainless steel sieve to remove large debris. Stored at 30oC for 7 days,Closed microcomsm in 200mL sealed glass flask. Incubated in dark,0.1,0.5,,60% WHC,,No,,Yes,Lid opened daily,60,Abiotic control,Sodium Azide,Synthetic mixture,,Solid,"Solvent dissolved, added to dry seed soil and evaporated. Seed soil mixed with remaining soil",1000,200,140,First order rate constant,0.683,,0.0055,126,Baltrons 2018,"x10 background levels of Cr, Mn, Co, No, Cu, Zn and Pb added",,L,N ,H,H,H,H,N ,H,H,n/a,N/A,H,L,M,H,2.6,2.5,0,2.6,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
134,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,144.375,2.159491997,-0.346787486,20,No,3,2.301029996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Scrubland soil near industrial area,Urban soil,Soil,"Sabadell, Spain","41.5463° N, 2.1086° E",,Passed through a 2 mm stainless steel sieve to remove large debris. Stored at 30oC for 7 days,Closed microcomsm in 200mL sealed glass flask. Incubated in dark,0.1,0.5,,60% WHC,,No,,Yes,Lid opened daily,60,Abiotic control,Sodium Azide,Synthetic mixture,,Solid,"Solvent dissolved, added to dry seed soil and evaporated. Seed soil mixed with remaining soil",1000,200,150,First order rate constant,0.803,,0.0048,144.375,Baltrons 2018,"x250 background levels of Cr, Mn, Co, No, Cu, Zn and Pb added",,L,N ,H,H,H,H,N ,H,H,n/a,N/A,H,L,M,H,2.6,2.5,0,2.6,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
135,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,121.5789474,2.084858379,-0.346787486,20,No,3,2.301029996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Scrubland soil near industrial area,Urban soil,Soil,"Sabadell, Spain","41.5463° N, 2.1086° E",,Passed through a 2 mm stainless steel sieve to remove large debris. Stored at 30oC for 7 days,Closed microcomsm in 200mL sealed glass flask. Incubated in dark,0.1,0.5,,60% WHC,,No,,Yes,Lid opened daily,60,Abiotic control,Sodium Azide,Synthetic mixture,,Solid,"Solvent dissolved, added to dry seed soil and evaporated. Seed soil mixed with remaining soil",1000,200,150,First order rate constant,0.728,,0.0057,121.5789474,Baltrons 2018,,,L,N ,H,H,H,H,N ,H,H,n/a,N/A,H,M,M,H,2.6,2.7,0,2.6,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
136,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,111.7741935,2.048341545,-0.346787486,20,No,3,2.301029996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Scrubland soil near industrial area,Urban soil,Soil,"Sabadell, Spain","41.5463° N, 2.1086° E",,Passed through a 2 mm stainless steel sieve to remove large debris. Stored at 30oC for 7 days,Closed microcomsm in 200mL sealed glass flask. Incubated in dark,0.1,0.5,,60% WHC,,No,,Yes,Lid opened daily,60,Abiotic control,Sodium Azide,Synthetic mixture,,Solid,"Solvent dissolved, added to dry seed soil and evaporated. Seed soil mixed with remaining soil",1000,200,130,First order rate constant,0.82,,0.0062,111.7741935,Baltrons 2018,"x500 background levels of Cr, Mn, Co, No, Cu, Zn and Pb added",,L,N ,H,H,H,H,N ,H,H,n/a,N/A,H,L,M,H,2.6,2.5,0,2.6,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
137,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,290,2.462397998,-0.292429824,20,No,3.445074633,1.033423755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Kidman fine sandy loam,Rural soil,Soil,"Utah, USA",,,Soil was air-dried and sieved to pass a 2-mm screen. Wetted and incubated at 20oC for 7 days prior to experiment start,Closed microcosm in glass beakers covered with polyethylene film. Incuated in darkness,0.02,0.51,,20,,Yes,Soils mixed every 2 - 3 week intervals,Yes,Polyethylene permits diffusions of atmospheric gases such as oxygen,150,Abiotic control,2% HgCl2,Synthetic mixture,,Solid,"Solvent dissolved (dichloromethane) added to soil, mixed and left to evaporate for 12 - 24 hours",2786.6,10.8,6.928758621,First order rate constant,,,0.002389655,290,Keck 1989,Losses of PAHs due to volatilization were found to be insignificant,Final hydrocarbon concentration are estimates based on degradation rate and incubation time,H,N ,H,H,L,H,N ,M,H,N/A,N/A,H,M,M,H,2.6,2.5,0,2.6,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
138,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,151,2.178976947,-0.292429824,20,No,4,1.113943352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Kidman fine sandy loam,Rural soil,Soil,"Utah, USA",,,Soil was air-dried and sieved to pass a 2-mm screen. Wetted and incubated at 20oC for 7 days prior to experiment start,Closed microcosm in glass beakers covered with polyethylene film. Incuated in darkness,0.02,0.51,,20,,Yes,Soils mixed every 2 - 3 week intervals,Yes,Polyethylene permits diffusions of atmospheric gases such as oxygen,150,Abiotic control,2% HgCl2,Creosote,Creosote wood preserving waste sludge,Slurry,Mixed directly,10000,13,4.050662252,First order rate constant,,,0.004589404,151,Keck 1989,Losses of PAHs due to volatilization were found to be insignificant,Final hydrocarbon concentration are estimates based on degradation rate and incubation time,H,N ,H,H,L,H,N ,M,H,N/A,N/A,H,M,M,H,2.6,2.5,0,2.6,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
139,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,309,2.489958479,-0.292429824,20,No,1.51851394,1.51851394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Kidman fine sandy loam,Rural soil,Soil,"Utah, USA",,,Soil was air-dried and sieved to pass a 2-mm screen. Wetted and incubated at 20oC for 7 days prior to experiment start,Closed microcosm in glass beakers covered with polyethylene film. Incuated in darkness,0.02,0.51,,20,,Yes,Soils mixed every 2 - 3 week intervals,Yes,Polyethylene permits diffusions of atmospheric gases such as oxygen,150,Abiotic control,2% HgCl2,Single constituent,,Solid,"Solvent dissolved (dichloromethane) added to soil, mixed and left to evaporate for 12 - 24 hours",33,33,21.89854369,First order rate constant,,,0.002242718,309,Keck 1989,Losses of PAHs due to volatilization were found to be insignificant,Final hydrocarbon concentration are estimates based on degradation rate and incubation time,H,N ,H,H,L,H,N ,M,H,N/A,N/A,H,M,H,H,2.6,2.7,0,2.6,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
140,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,14.65116279,1.165872094,,20,No,2.785329835,2.301029996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Garden soil from a vegetable garden,Garden soil,Soil,"Pietermaritzberg, SA","29°36'29.2""S 30°20'54.0""E",,Homogenised and sieved,Open microcosm. PVC cylinder 1L. Ambient conditions,1,,,70% WHC,,Yes,Tilled daily,No,Open microcosm,70,Abiotic control,Sodium Azide,Synthetic mixture,,Solid,Mixed directly,610,200,13.44537815,First order rate constant,0.8665,,0.0473,14.65116279,Atagana 2006,Ammended with 5% CuSO4 solution. Ammended with nutrients,Assume density of soil is 2g/cm3,L,N ,H,L,H,M,N ,M,H,N/A,N/A,L,L,M,H,2.0,2.0,0,2.0,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
141,Benzo(a)pyrene,PAH,20,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,9.611650485,0.98279797,,20,No,2.785329835,2.301029996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Garden soil from a vegetable garden,Garden soil,Soil,"Pietermaritzberg, SA","29°36'29.2""S 30°20'54.0""E",,Homogenised and sieved,Open microcosm. PVC cylinder 1L. Ambient conditions,1,,,70% WHC,,Yes,Tilled daily,No,Open microcosm,70,Abiotic control,Sodium Azide,Synthetic mixture,,Solid,Mixed directly,610,200,3,First order rate constant,0.9452,,0.0721,9.611650485,Atagana 2006,Ammended with 5% CuSO4 solution Ammended with nutrients and H2O2,Assume density of soil is 2g/cm3,L,N ,H,L,H,M,N ,M,H,N/A,N/A,L,L,M,H,2.0,2.0,0,2.0,421.6,2.6249,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
