Data ID No,Chemical Name,Chemical Class,Carbon Number,CAS,SMILES,DT50,logDT50,logfoc,StudyT,Dispersant,logTdose,logDose,chain:alkaneBranch_isopropyl_C3,chain:alkaneBranch_t-butyl_C4,chain:alkaneBranch_neopentyl_C5,chain:alkaneBranch_isohexyl_pentyl_3-methyl,chain:alkaneBranch_isooctyl_heptyl_3-methyl,chain:alkaneBranch_isononyl_heptyl_2_5-methyl,chain:alkaneCyclic_pentyl_C5,chain:alkaneCyclic_hexyl_C6,chain:alkaneLinear_ethyl_C2_(connect_noZ_CN=4),chain:alkaneLinear_propyl_C3,chain:alkaneLinear_butyl_C4,chain:alkaneLinear_hexyl_C6,chain:alkaneLinear_octyl_C8,chain:alkaneLinear_decyl_C10,chain:alkaneLinear_dodedyl_C12,chain:alkaneLinear_tetradecyl_C14,chain:alkaneLinear_hexadecyl_C16,chain:alkaneLinear_stearyl_C18,chain:alkeneCyclic_diene_cyclohexene,chain:alkeneCyclic_diene_cyclopentadiene,chain:alkeneCyclic_ethene_C_(connect_noZ),chain:aromaticAlkane_Ar-C_meta,chain:aromaticAlkane_Ar-C_ortho,chain:aromaticAlkane_Ph-C1_acyclic_connect_H_gt_1,chain:aromaticAlkane_Ph-C1_acyclic_connect_noDblBd,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-1_4-C1_acyclic,chain:aromaticAlkane_Ph-C2,chain:aromaticAlkane_Ph-C1_cyclic,chain:aromaticAlkene_Ph-C2_cyclic,ring:aromatic_benzene,ring:aromatic_biphenyl,ring:aromatic_phenyl,ring:fused_[6_6]_naphthalene,ring:fused_[6_6]_tetralin,ring:fused_PAH_acenaphthylene,ring:fused_PAH_anthracene,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_fluorene,ring:fused_PAH_phenanthrene,ring:fused_PAH_pyrene,ring:hetero_[5]_O_furan,ring:hetero_[5]_O_oxolane,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_Z_1-Z,ring:hetero_[5_6]_O_benzofuran,ring:hetero_[5_6]_Z_generic,ring:hetero_[6_5_6]_O_benzofuran_dibenzo,Inoculum description,Inoculum assignment,Compartment assignment,Matrix location,Approximate location coordinates,Matrix collection Temperature (oC),Matrix storage,Study system,Study matrix volume (L),Matrix Organic Carbon Content (%),pH,Study moisture content (%),Study Sediment:Water ratio,Study Agitation,Study Agitation description,Study Aeration,Study Aeration description,Study duration (d),Study controls,Abiotic control type,Test substance type,Test substance description,Test substance physical form,Test substance dosing stratgy,Total hydrocarbon dose (ppm),Initial test substance concentration (ppm),Final test substance concentration (ppm),Kinetics used,R2 (if applicable),Lag (d),Rate (d-1),Halflife (d),Study reference,Study comments,Other comments,Soil classification,Non standard inoculum,pH,Organic carbon,Sampling and storage,"Nutrient supplemenation (N,P)",Non-routine experimental setup,Soil moisture,Soil aeration,Water:Sediment ratio,Sediment agitation and aeration,Light regime,Test substance concentration,"Mixtures, crudes or petroleum products",Temperature,Inoculum,Test system,Flags,Total relevance (Inoculum + Test system ave),HL_bhcw,logHL_biohcw,SMILES2
11,3-Methylpentane,i-P,6,96-14-0,CCC(C)CC,11.55,1.062581984,-2,23,No,,,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy Soil,Urban soil,Soil,"Flyvestation Værløse, Denmark","55.7653° N, 12.3219° E",,,"Open horizontal column experiment (120cm long x 8.1cm diameter). Due to the horizontal position of the column, no hydraulic gradient causing water advection along the
column axis was present. Substance transport across the column due to vapor transport",6.1,0.01,,29,,No,,Yes,Column purged with water satuated airflow at a rate of 5mL/min,30,Conservative tracers (CFC-113 and CFC-11) used,,Synthetic mixture,Gasoline components,Liquid,Mixed directly (gaseous volume injected),,,,First order rate constant,,,0.06,11.55,Hohener 2006,,,L,Y,L,H,H,H,Y,M,H,N/A,N/A,L,H,M,H,2.2,2.3,2,2.3,4.197,0.6229,CCC(C)CC
12,4-Methylbiphenyl,DAH,13,644-08-6,Cc1ccc(cc1)c2ccccc2,28.09,1.448551739,0.618048097,20,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meota loamy sand soil,Rural soil,Soil,"Maidstone, Canada","53°05'43.9""N 109°18'13.7""W",,,Closed microcosm in 4L glass flask,0.15,4.15,,60% WHC,,No,,Yes,Adequate oxygen in microcosm headspace,119,None described,,Single constituent,,Liquid,Solvent dissolved (methanol) and applied to soil,10,10,,First order rate constant,0.6,,0.024670701,28.09,Hosler 1992,,,H,N ,H,H,H,H,N ,H,H,L,N/A,N/A,H,H,H,3.0,2.7,0,2.8,30.64,1.4863,Cc1ccc(cc1)c2ccccc2
13,4-Methylbiphenyl,DAH,13,644-08-6,Cc1ccc(cc1)c2ccccc2,48.88,1.689131197,0.618048097,20,No,1.812913357,1.812913357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meota loamy sand soil,Rural soil,Soil,"Maidstone, Canada","53°05'43.9""N 109°18'13.7""W",,,Closed microcosm in 4L glass flask,0.15,4.15,,60% WHC,,No,,Yes,Adequate oxygen in microcosm headspace,119,None described,,Single constituent,,Liquid,Solvent dissolved (methanol) and applied to soil,65,65,,First order rate constant,0.77,,0.014177578,48.88,Hosler 1992,,,H,N ,H,H,H,H,N ,H,H,L,N/A,N/A,H,H,H,3.0,2.7,0,2.8,30.64,1.4863,Cc1ccc(cc1)c2ccccc2
14,"7,12-Dimethylbenz(a)anthracene",PAH,20,57-97-6,Cc1c2ccccc2c(C)c3c4ccccc4ccc13,8.0,0.903089987,0.041392685,25,No,1.113943352,1.113943352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Sandy Loam McLaurin soil,Agricultural soil,Soil,"Paleudult; Mississippi, USA",,,Air-dried and sieved to pass a 2-mm screen.,Closed microcosm in 500mL glass flask sealed with polyethylene film. Incubated in dark,0.25,1.1,,15,,No,,Yes,Aerated continously 200mL/min,105,Abiotic control,2% HgCl2,Single constituent,Single constituent,Solid,Solvent dissolved (methyl chloride) and mixed with soil and allowed to evaporate for 24 hours,13,13,0,First order rate constant,0.8,,0.086625,8,Parks 1990,,Final hydrocarbon concentration are estimates based on degradation rate and incubation time,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,3.0,2.5,0,2.8,234.9,2.3709,Cc1c2ccccc2c(C)c3c4ccccc4ccc13
15,"7,12-Dimethylbenz(a)anthracene",PAH,20,57-97-6,Cc1c2ccccc2c(C)c3c4ccccc4ccc13,20.0,1.301029996,-0.301029996,25,No,1.113943352,1.113943352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Sandy Loam Kidman soil,Agricultural soil,Soil,"Calciaquoll; Utah, USA",,,Air-dried and sieved to pass a 2-mm screen.,Closed microcosm in 500mL glass flask sealed with polyethylene film. Incubated in dark,0.25,0.5,,15,,No,,Yes,Aerated continously 200mL/min,196,Abiotic control,2% HgCl2,Single constituent,Single constituent,Solid,Solvent dissolved (methyl chloride) and mixed with soil and allowed to evaporate for 24 hours,13,13,0,First order rate constant,0.94,,0.03465,20,Parks 1990,,Final hydrocarbon concentration are estimates based on degradation rate and incubation time,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,3.0,2.5,0,2.8,234.9,2.3709,Cc1c2ccccc2c(C)c3c4ccccc4ccc13
16,9-Ethylfluorene,NDAH,15,2294-82-8,CCC1c2ccccc2c3ccccc13,47.89,1.680244837,0.618048097,20,No,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Meota loamy sand soil,Rural soil,Soil,"Maidstone, Canada","53°05'43.9""N 109°18'13.7""W",,,Closed microcosm in 4L glass flask,0.15,4.15,,60% WHC,,No,,Yes,Adequate oxygen in microcosm headspace,119,None described,,Single constituent,,Solid,Solvent dissolved (methanol) and applied to soil,10,10,,First order rate constant,0.67,,0.014470662,47.89,Hosler 1992,,,H,N ,H,H,H,H,N ,H,H,L,N/A,N/A,H,H,H,3.0,2.7,0,2.8,37.78,1.5772,CCC1c2ccccc2c3ccccc13
17,9-Ethylfluorene,NDAH,15,2294-82-8,CCC1c2ccccc2c3ccccc13,29.1,1.463892989,0.618048097,20,No,1.77815125,1.77815125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Meota loamy sand soil,Rural soil,Soil,"Maidstone, Canada","53°05'43.9""N 109°18'13.7""W",,,Closed microcosm in 4L glass flask,0.15,4.15,,60% WHC,,No,,Yes,Adequate oxygen in microcosm headspace,119,None described,,Single constituent,,Solid,Solvent dissolved (methanol) and applied to soil,60,60,,First order rate constant,0.93,,0.023814433,29.1,Hosler 1992,,,H,N ,H,H,H,H,N ,H,H,L,N/A,N/A,H,H,H,3.0,2.7,0,2.8,37.78,1.5772,CCC1c2ccccc2c3ccccc13
18,9-Ethylfluorene,NDAH,15,2294-82-8,CCC1c2ccccc2c3ccccc13,12.06,1.081347308,0.618048097,20,No,2.204119983,2.204119983,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Meota loamy sand soil,Rural soil,Soil,"Maidstone, Canada","53°05'43.9""N 109°18'13.7""W",,,Closed microcosm in 4L glass flask,0.15,4.15,,60% WHC,,No,,Yes,Adequate oxygen in microcosm headspace,119,None described,,Single constituent,,Solid,Solvent dissolved (methanol) and applied to soil,160,160,,First order rate constant,0.86,,0.057462687,12.06,Hosler 1992,,,H,N ,H,H,H,H,N ,H,H,L,N/A,N/A,H,H,H,3.0,2.7,0,2.8,37.78,1.5772,CCC1c2ccccc2c3ccccc13
19,Acenaphthene,NDAH,12,83-32-9,C1Cc2cccc3cccc1c23,154,2.187520721,,21,No,4.934498451,3.478999132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy silty Derby soil,Rural soil,Soil,"Rolling red prairies, USA",,,,Soil column (7.5cm diameter and various lengths). Water perculated through column and air sparged through bottom of column,,,,25,,No,,Yes,Air sparged through bottom of column,83,None described,,Wood preservng sludge,,Slurry,Mixed directly in to top 20cm of column soil,86000,3013,2066,First order rate constant,,,0.0045,154,Kincannon 1985,Low abiotic losses predicted,Rate is k1. Second phase k2 not included in derivation of HL,L,N ,H,L,H,H,Y,M,H,N/A,N/A,H,M,M,H,2.2,2.5,1,2.4,18.77,1.2736,C1Cc2cccc3cccc1c23
20,Acenaphthene,NDAH,12,83-32-9,C1Cc2cccc3cccc1c23,42.51533742,1.62854563,,21,No,4.819543936,3.112605002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy silty Derby soil,Rural soil,Soil,"Rolling red prairies, USA",,,,Soil column (7.5cm diameter and various lengths). Water perculated through column and air sparged through bottom of column,,,,25,,No,,Yes,Air sparged through bottom of column,76,None described,,Slop oil sludge,,Slurry,Mixed directly in to top 20cm of column soil,66000,1296,375,First order rate constant,,,0.0163,42.51533742,Kincannon 1985,Low abiotic losses predicted,Rate is k1. Second phase k2 not included in derivation of HL,L,N ,H,L,H,H,Y,M,H,N/A,N/A,H,M,M,H,2.2,2.5,1,2.4,18.77,1.2736,C1Cc2cccc3cccc1c23
